round,g1,g2,choice,coin_flip,wealth_expected,wealth_actual,realized,g1_max,g1_min,g1_range,g1_mean,g1_signs_diff,g1_both_positive,g1_both_negative,g1_count_positive,g1_count_negative,g1_both_gainers,g1_both_shrinkers,g1_count_gainers,g1_count_shrinkers,g2_max,g2_min,g2_range,g2_mean,g2_signs_diff,g2_both_positive,g2_both_negative,g2_count_positive,g2_count_negative,g2_both_gainers,g2_both_shrinkers,g2_count_gainers,g2_count_shrinkers,eta
64,"(0.649, 1.446)","(0.583, 2.164)",2,2,9048712716.864876,1650781018.5007095,2.164,1.446,0.649,0.7969999999999999,1.0474999999999999,0,1,0,2,0,0,0,1,1,2.164,0.583,1.5810000000000002,1.3735,0,1,0,2,0,0,0,1,1,1.0
65,"(0.427, 0.583)","(0.583, 0.649)",2,1,5574007033.588763,962405333.7859136,0.583,0.583,0.427,0.15599999999999997,0.505,0,1,0,2,0,0,1,0,2,0.649,0.583,0.06600000000000006,0.616,0,1,0,2,0,0,1,0,2,1.0
66,"(0.427, 1.184)","(0.583, 1.006)",2,1,4428548588.186273,561082309.5971876,0.583,1.184,0.427,0.7569999999999999,0.8055,0,1,0,2,0,0,0,1,1,1.006,0.583,0.42300000000000004,0.7945,0,1,0,2,0,0,0,1,1,1.0
67,"(0.649, 1.184)","(0.583, 1.739)",2,1,5141544910.884263,327110986.4951604,0.583,1.184,0.649,0.5349999999999999,0.9165,0,1,0,2,0,0,0,1,1,1.739,0.583,1.1560000000000001,1.161,0,1,0,2,0,0,0,1,1,1.0
68,"(1.446, 1.739)","(1.184, 2.164)",2,1,8606946180.820255,387299408.0102699,1.184,1.739,1.446,0.29300000000000015,1.5925,0,1,0,2,0,1,0,2,0,2.164,1.184,0.9800000000000002,1.674,0,1,0,2,0,1,0,2,0,1.0
69,"(0.583, 1.184)","(0.649, 0.841)",1,1,7604236950.754695,225795554.86998734,0.583,1.184,0.583,0.601,0.8835,0,1,0,2,0,0,0,1,1,0.841,0.649,0.19199999999999995,0.745,0,1,0,2,0,0,1,0,2,1.0
70,"(1.006, 2.164)","(0.841, 1.006)",1,2,12052715566.946192,488621580.73865265,2.164,2.164,1.006,1.1580000000000001,1.585,0,1,0,2,0,1,0,2,0,1.006,0.841,0.16500000000000004,0.9235,0,1,0,2,0,0,0,1,1,1.0
71,"(0.841, 1.446)","(0.427, 1.446)",1,1,13782280250.802969,410930749.40120685,0.841,1.446,0.841,0.605,1.1435,0,1,0,2,0,0,0,1,1,1.446,0.427,1.019,0.9365,0,1,0,2,0,0,0,1,1,1.0
72,"(1.006, 2.164)","(1.446, 1.739)",2,1,21948281299.40373,594205863.6341451,1.446,2.164,1.006,1.1580000000000001,1.585,0,1,0,2,0,1,0,2,0,1.739,1.446,0.29300000000000015,1.5925,0,1,0,2,0,1,0,2,0,1.0
73,"(0.427, 0.649)","(1.739, 2.164)",2,2,42832070955.786385,1285861488.9042902,2.164,0.649,0.427,0.22200000000000003,0.538,0,1,0,2,0,0,1,0,2,2.164,1.739,0.42500000000000004,1.9515000000000002,0,1,0,2,0,1,0,2,0,1.0
74,"(0.583, 1.184)","(0.583, 1.446)",2,2,43453135984.64529,1859355712.9556036,1.446,1.184,0.583,0.601,0.8835,0,1,0,2,0,0,0,1,1,1.446,0.583,0.863,1.0145,0,1,0,2,0,0,0,1,1,1.0
75,"(0.841, 1.446)","(0.583, 0.841)",1,2,49688660998.44189,2688628360.9338026,1.446,1.446,0.841,0.605,1.1435,0,1,0,2,0,0,0,1,1,0.841,0.583,0.258,0.712,0,1,0,2,0,0,1,0,2,1.0
76,"(1.006, 2.164)","(0.583, 1.739)",1,2,78756527682.5304,5818191773.060749,2.164,2.164,1.006,1.1580000000000001,1.585,0,1,0,2,0,1,0,2,0,1.739,0.583,1.1560000000000001,1.161,0,1,0,2,0,0,0,1,1,1.0
77,"(0.841, 1.184)","(0.841, 1.006)",1,1,79740984278.56203,4893099281.14409,0.841,1.184,0.841,0.34299999999999997,1.0125,0,1,0,2,0,0,0,1,1,1.006,0.841,0.16500000000000004,0.9235,0,1,0,2,0,0,0,1,1,1.0
78,"(0.583, 1.446)","(0.583, 1.006)",1,1,80897228550.60117,2852676880.907004,0.583,1.446,0.583,0.863,1.0145,0,1,0,2,0,0,0,1,1,1.006,0.583,0.42300000000000004,0.7945,0,1,0,2,0,0,0,1,1,1.0
79,"(1.739, 2.164)","(0.427, 1.446)",1,2,157870941516.4982,6173192770.282757,2.164,2.164,1.739,0.42500000000000004,1.9515000000000002,0,1,0,2,0,1,0,2,0,1.446,0.427,1.019,0.9365,0,1,0,2,0,0,0,1,1,1.0
80,"(0.649, 1.739)","(1.006, 1.184)",2,1,172868680960.56552,6210231926.904453,1.006,1.739,0.649,1.09,1.194,0,1,0,2,0,0,0,1,1,1.184,1.006,0.17799999999999994,1.095,0,1,0,2,0,1,0,2,0,1.0
81,"(1.184, 1.739)","(0.583, 0.841)",1,1,252647577223.86652,7352914601.454872,1.184,1.739,1.184,0.5550000000000002,1.4615,0,1,0,2,0,1,0,2,0,0.841,0.583,0.258,0.712,0,1,0,2,0,0,1,0,2,1.0
82,"(1.184, 1.739)","(0.649, 1.446)",1,2,369244434112.6809,12786718491.930023,1.739,1.739,1.184,0.5550000000000002,1.4615,0,1,0,2,0,1,0,2,0,1.446,0.649,0.7969999999999999,1.0474999999999999,0,1,0,2,0,0,0,1,1,1.0
83,"(0.427, 2.164)","(0.583, 2.164)",2,2,507157230253.7672,27670458816.53657,2.164,2.164,0.427,1.737,1.2955,0,1,0,2,0,0,0,1,1,2.164,0.583,1.5810000000000002,1.3735,0,1,0,2,0,0,0,1,1,1.0
84,"(1.006, 1.739)","(0.841, 1.006)",1,1,696073298523.2955,27836481569.43579,1.006,1.739,1.006,0.7330000000000001,1.3725,0,1,0,2,0,1,0,2,0,1.006,0.841,0.16500000000000004,0.9235,0,1,0,2,0,0,0,1,1,1.0
85,"(0.649, 1.006)","(1.006, 1.739)",2,1,955360602223.2231,28003500458.852406,1.006,1.006,0.649,0.357,0.8275,0,1,0,2,0,0,0,1,1,1.739,1.006,0.7330000000000001,1.3725,0,1,0,2,0,1,0,2,0,1.0
86,"(0.841, 1.006)","(0.427, 1.739)",1,1,882275516153.1466,23550943885.89487,0.841,1.006,0.841,0.16500000000000004,0.9235,0,1,0,2,0,0,0,1,1,1.739,0.427,1.312,1.083,0,1,0,2,0,0,0,1,1,1.0
87,"(0.427, 1.006)","(0.583, 0.841)",2,1,628180167501.0404,13730200285.47671,0.583,1.006,0.427,0.579,0.7165,0,1,0,2,0,0,0,1,1,0.841,0.583,0.258,0.712,0,1,0,2,0,0,1,0,2,1.0
88,"(0.427, 1.739)","(0.427, 2.164)",2,1,813807406997.5979,5862795521.898555,0.427,1.739,0.427,1.312,1.083,0,1,0,2,0,0,0,1,1,2.164,0.427,1.737,1.2955,0,1,0,2,0,0,0,1,1,1.0
89,"(0.427, 1.739)","(0.841, 2.164)",2,2,1222745629013.8909,12687089509.388474,2.164,1.739,0.427,1.312,1.083,0,1,0,2,0,0,0,1,1,2.164,0.841,1.3230000000000002,1.5025,0,1,0,2,0,0,0,1,1,1.0
90,"(1.739, 2.164)","(0.841, 1.739)",1,2,2386188095020.6084,27454861698.316658,2.164,2.164,1.739,0.42500000000000004,1.9515000000000002,0,1,0,2,0,1,0,2,0,1.739,0.841,0.8980000000000001,1.29,0,1,0,2,0,0,0,1,1,1.0
91,"(0.649, 0.841)","(0.427, 2.164)",2,1,3091306677099.198,11723225945.181213,0.427,0.841,0.649,0.19199999999999995,0.745,0,1,0,2,0,0,1,0,2,2.164,0.427,1.737,1.2955,0,1,0,2,0,0,0,1,1,1.0
92,"(0.583, 2.164)","(1.006, 1.184)",1,2,4245909720995.7485,25369060945.372147,2.164,2.164,0.583,1.5810000000000002,1.3735,0,1,0,2,0,0,0,1,1,1.184,1.006,0.17799999999999994,1.095,0,1,0,2,0,1,0,2,0,1.0
93,"(0.583, 1.184)","(0.841, 1.184)",2,1,4298983592508.1953,21335380255.057976,0.841,1.184,0.583,0.601,0.8835,0,1,0,2,0,0,0,1,1,1.184,0.841,0.34299999999999997,1.0125,0,1,0,2,0,0,0,1,1,1.0
94,"(0.427, 1.739)","(0.583, 1.006)",1,1,4655799230686.375,9110207368.909756,0.427,1.739,0.427,1.312,1.083,0,1,0,2,0,0,0,1,1,1.006,0.583,0.42300000000000004,0.7945,0,1,0,2,0,0,0,1,1,1.0
95,"(0.427, 1.446)","(1.006, 1.446)",2,2,5708009856821.496,13173359855.443506,1.446,1.446,0.427,1.019,0.9365,0,1,0,2,0,0,0,1,1,1.446,1.006,0.43999999999999995,1.226,0,1,0,2,0,1,0,2,0,1.0
96,"(0.583, 0.841)","(0.841, 1.184)",2,1,5779359980031.765,11078795638.427988,0.841,0.841,0.583,0.258,0.712,0,1,0,2,0,0,1,0,2,1.184,0.841,0.34299999999999997,1.0125,0,1,0,2,0,0,0,1,1,1.0
97,"(0.427, 2.164)","(0.649, 1.739)",2,2,6900555816157.927,19266025615.226273,1.739,2.164,0.427,1.737,1.2955,0,1,0,2,0,0,0,1,1,1.739,0.649,1.09,1.194,0,1,0,2,0,0,0,1,1,1.0
98,"(0.583, 1.006)","(0.427, 1.006)",1,1,5482491595937.473,11232092933.676916,0.583,1.006,0.583,0.42300000000000004,0.7945,0,1,0,2,0,0,0,1,1,1.006,0.427,0.579,0.7165,0,1,0,2,0,0,0,1,1,1.0
99,"(0.427, 0.583)","(0.841, 1.739)",2,2,7072414158759.34,19532609611.664158,1.739,0.583,0.427,0.15599999999999997,0.505,0,1,0,2,0,0,1,0,2,1.739,0.841,0.8980000000000001,1.29,0,1,0,2,0,0,0,1,1,1.0
100,"(0.583, 1.739)","(0.427, 1.739)",1,2,8211072838319.594,33967208114.68397,1.739,1.739,0.583,1.1560000000000001,1.161,0,1,0,2,0,0,0,1,1,1.739,0.427,1.312,1.083,0,1,0,2,0,0,0,1,1,1.0
101,"(1.446, 1.739)","(0.841, 1.006)",1,1,13076133495023.953,49116582933.83302,1.446,1.739,1.446,0.29300000000000015,1.5925,0,1,0,2,0,1,0,2,0,1.006,0.841,0.16500000000000004,0.9235,0,1,0,2,0,0,0,1,1,1.0
102,"(1.446, 2.164)","(0.427, 1.446)",1,1,23602420958518.24,71022578922.32256,1.446,2.164,1.446,0.7180000000000002,1.8050000000000002,0,1,0,2,0,1,0,2,0,1.446,0.427,1.019,0.9365,0,1,0,2,0,0,0,1,1,1.0
