round,g1,g2,choice,coin_flip,wealth_expected,wealth_actual,realized,g1_max,g1_min,g1_range,g1_mean,g1_signs_diff,g1_both_positive,g1_both_negative,g1_count_positive,g1_count_negative,g1_both_gainers,g1_both_shrinkers,g1_count_gainers,g1_count_shrinkers,g2_max,g2_min,g2_range,g2_mean,g2_signs_diff,g2_both_positive,g2_both_negative,g2_count_positive,g2_count_negative,g2_both_gainers,g2_both_shrinkers,g2_count_gainers,g2_count_shrinkers,eta
765,"(-407.0, 210.5)","(-49.0, 0.0)",2,2,89800.75,94718.0,0.0,210.5,-407.0,617.5,-98.25,1,0,0,1,1,,,,,0.0,-49.0,49.0,-24.5,0,0,0,0,1,,,,,1.5
766,"(-49.0, 108.5)","(-241.5, 108.5)",1,2,89830.5,94826.5,108.5,108.5,-49.0,157.5,29.75,1,0,0,1,1,,,,,108.5,-241.5,350.0,-66.5,1,0,0,1,1,,,,,1.5
767,"(210.5, 309.5)","(-49.0, 309.5)",1,1,90090.5,95037.0,210.5,309.5,210.5,99.0,260.0,0,1,0,2,0,1.0,0.0,2.0,0.0,309.5,-49.0,358.5,130.25,1,0,0,1,1,,,,,1.5
768,"(-241.5, 108.5)","(-407.0, -305.5)",1,1,90024.0,94795.5,-241.5,108.5,-241.5,350.0,-66.5,1,0,0,1,1,,,,,-305.5,-407.0,101.5,-356.25,0,0,1,0,2,,,,,1.5
769,"(-241.5, 309.5)","(-305.5, 440.5)",2,2,90091.5,95236.0,440.5,309.5,-241.5,551.0,34.0,1,0,0,1,1,,,,,440.5,-305.5,746.0,67.5,1,0,0,1,1,,,,,1.5
770,"(-305.5, 210.5)","(-49.0, 210.5)",2,1,90172.25,95187.0,-49.0,210.5,-305.5,516.0,-47.5,1,0,0,1,1,,,,,210.5,-49.0,259.5,80.75,1,0,0,1,1,,,,,1.5
771,"(-407.0, 309.5)","(210.5, 440.5)",2,2,90497.75,95627.5,440.5,309.5,-407.0,716.5,-48.75,1,0,0,1,1,,,,,440.5,210.5,230.0,325.5,0,1,0,2,0,1.0,0.0,2.0,0.0,1.5
772,"(108.5, 0.0)","(309.5, 0.0)",2,1,90652.5,95937.0,309.5,108.5,0.0,108.5,54.25,0,0,0,1,0,,,,,309.5,0.0,309.5,154.75,0,0,0,1,0,,,,,1.5
773,"(108.5, 309.5)","(-305.5, 210.5)",1,1,90861.5,96045.5,108.5,309.5,108.5,201.0,209.0,0,1,0,2,0,1.0,0.0,2.0,0.0,210.5,-305.5,516.0,-47.5,1,0,0,1,1,,,,,1.5
774,"(-407.0, -49.0)","(-305.5, -241.5)",1,1,90633.5,95638.5,-407.0,-49.0,-407.0,358.0,-228.0,0,0,1,0,2,,,,,-241.5,-305.5,64.0,-273.5,0,0,1,0,2,,,,,1.5
775,"(309.5, 0.0)","(-407.0, -241.5)",1,1,90788.25,95948.0,309.5,309.5,0.0,309.5,154.75,0,0,0,1,0,,,,,-241.5,-407.0,165.5,-324.25,0,0,1,0,2,,,,,1.5
776,"(-407.0, -49.0)","(-241.5, 210.5)",2,2,90772.75,96158.5,210.5,-49.0,-407.0,358.0,-228.0,0,0,1,0,2,,,,,210.5,-241.5,452.0,-15.5,1,0,0,1,1,,,,,1.5
777,"(-305.5, 440.5)","(-407.0, -241.5)",1,2,90840.25,96599.0,440.5,440.5,-305.5,746.0,67.5,1,0,0,1,1,,,,,-241.5,-407.0,165.5,-324.25,0,0,1,0,2,,,,,1.5
778,"(-49.0, 210.5)","(-241.5, 0.0)",1,1,90921.0,96550.0,-49.0,210.5,-49.0,259.5,80.75,1,0,0,1,1,,,,,0.0,-241.5,241.5,-120.75,0,0,0,0,1,,,,,1.5
779,"(108.5, 440.5)","(-407.0, -49.0)",1,1,91195.5,96658.5,108.5,440.5,108.5,332.0,274.5,0,1,0,2,0,1.0,0.0,2.0,0.0,-49.0,-407.0,358.0,-228.0,0,0,1,0,2,,,,,1.5
780,"(210.5, 440.5)","(210.5, 309.5)",1,1,91521.0,96869.0,210.5,440.5,210.5,230.0,325.5,0,1,0,2,0,1.0,0.0,2.0,0.0,309.5,210.5,99.0,260.0,0,1,0,2,0,1.0,0.0,2.0,0.0,1.5
781,"(-305.5, 440.5)","(-407.0, -241.5)",1,2,91588.5,97309.5,440.5,440.5,-305.5,746.0,67.5,1,0,0,1,1,,,,,-241.5,-407.0,165.5,-324.25,0,0,1,0,2,,,,,1.5
782,"(210.5, 440.5)","(-407.0, 440.5)",1,2,91914.0,97750.0,440.5,440.5,210.5,230.0,325.5,0,1,0,2,0,1.0,0.0,2.0,0.0,440.5,-407.0,847.5,16.75,1,0,0,1,1,,,,,1.5
783,"(210.5, 440.5)","(-407.0, 309.5)",1,1,92239.5,97960.5,210.5,440.5,210.5,230.0,325.5,0,1,0,2,0,1.0,0.0,2.0,0.0,309.5,-407.0,716.5,-48.75,1,0,0,1,1,,,,,1.5
784,"(-407.0, -49.0)","(-305.5, 210.5)",2,1,92192.0,97655.0,-305.5,-49.0,-407.0,358.0,-228.0,0,0,1,0,2,,,,,210.5,-305.5,516.0,-47.5,1,0,0,1,1,,,,,1.5
785,"(-407.0, 108.5)","(-407.0, 0.0)",1,1,92042.75,97248.0,-407.0,108.5,-407.0,515.5,-149.25,1,0,0,1,1,,,,,0.0,-407.0,407.0,-203.5,0,0,0,0,1,,,,,1.5
786,"(-305.5, 210.5)","(440.5, 0.0)",2,1,92263.0,97688.5,440.5,210.5,-305.5,516.0,-47.5,1,0,0,1,1,,,,,440.5,0.0,440.5,220.25,0,0,0,1,0,,,,,1.5
787,"(-305.5, 108.5)","(-49.0, 440.5)",2,1,92458.75,97639.5,-49.0,108.5,-305.5,414.0,-98.5,1,0,0,1,1,,,,,440.5,-49.0,489.5,195.75,1,0,0,1,1,,,,,1.5
788,"(-305.5, 108.5)","(-407.0, -241.5)",1,2,92360.25,97748.0,108.5,108.5,-305.5,414.0,-98.5,1,0,0,1,1,,,,,-241.5,-407.0,165.5,-324.25,0,0,1,0,2,,,,,1.5
789,"(-407.0, 440.5)","(-407.0, 210.5)",1,1,92377.0,97341.0,-407.0,440.5,-407.0,847.5,16.75,1,0,0,1,1,,,,,210.5,-407.0,617.5,-98.25,1,0,0,1,1,,,,,1.5
790,"(-407.0, 108.5)","(309.5, 440.5)",2,2,92752.0,97781.5,440.5,108.5,-407.0,515.5,-149.25,1,0,0,1,1,,,,,440.5,309.5,131.0,375.0,0,1,0,2,0,1.0,0.0,2.0,0.0,1.5
791,"(210.5, 440.5)","(-407.0, 108.5)",1,2,93077.5,98222.0,440.5,440.5,210.5,230.0,325.5,0,1,0,2,0,1.0,0.0,2.0,0.0,108.5,-407.0,515.5,-149.25,1,0,0,1,1,,,,,1.5
792,"(309.5, 440.5)","(-241.5, 0.0)",1,2,93452.5,98662.5,440.5,440.5,309.5,131.0,375.0,0,1,0,2,0,1.0,0.0,2.0,0.0,0.0,-241.5,241.5,-120.75,0,0,0,0,1,,,,,1.5
793,"(-305.5, 440.5)","(-407.0, -49.0)",1,2,93520.0,99103.0,440.5,440.5,-305.5,746.0,67.5,1,0,0,1,1,,,,,-49.0,-407.0,358.0,-228.0,0,0,1,0,2,,,,,1.5
794,"(-407.0, 210.5)","(-305.5, 309.5)",2,1,93522.0,98797.5,-305.5,210.5,-407.0,617.5,-98.25,1,0,0,1,1,,,,,309.5,-305.5,615.0,2.0,1,0,0,1,1,,,,,1.5
795,"(-305.5, -49.0)","(210.5, 440.5)",2,1,93847.5,99008.0,210.5,-49.0,-305.5,256.5,-177.25,0,0,1,0,2,,,,,440.5,210.5,230.0,325.5,0,1,0,2,0,1.0,0.0,2.0,0.0,1.5
796,"(-49.0, 0.0)","(-241.5, -49.0)",1,1,93823.0,98959.0,-49.0,0.0,-49.0,49.0,-24.5,0,0,0,0,1,,,,,-49.0,-241.5,192.5,-145.25,0,0,1,0,2,,,,,1.5
797,"(-407.0, -241.5)","(-407.0, 309.5)",2,1,93774.25,98552.0,-407.0,-241.5,-407.0,165.5,-324.25,0,0,1,0,2,,,,,309.5,-407.0,716.5,-48.75,1,0,0,1,1,,,,,1.5
798,"(210.5, 0.0)","(-241.5, -49.0)",1,2,93879.5,98552.0,0.0,210.5,0.0,210.5,105.25,0,0,0,1,0,,,,,-49.0,-241.5,192.5,-145.25,0,0,1,0,2,,,,,1.5
799,"(-241.5, 309.5)","(210.5, 440.5)",2,2,94205.0,98992.5,440.5,309.5,-241.5,551.0,34.0,1,0,0,1,1,,,,,440.5,210.5,230.0,325.5,0,1,0,2,0,1.0,0.0,2.0,0.0,1.5
800,"(309.5, 0.0)","(-305.5, -241.5)",1,1,94359.75,99302.0,309.5,309.5,0.0,309.5,154.75,0,0,0,1,0,,,,,-241.5,-305.5,64.0,-273.5,0,0,1,0,2,,,,,1.5
