round,g1_a,g1_b,g2_a,g2_b,ee_choice,coin_flip,realized,wealth_expected,wealth_actual,g1_max,g1_min,g1_range,g1_mean,g1_signs_diff,g1_both_positive,g1_both_negative,g1_count_positive,g1_count_negative,g2_max,g2_min,g2_range,g2_mean,g2_signs_diff,g2_both_positive,g2_both_negative,g2_count_positive,g2_count_negative,g2_both_gainers,g2_both_shrinkers,g2_count_gainers,g2_count_shrinkers,g1_both_gainers,g1_both_shrinkers,g1_count_gainers,g1_count_shrinkers
718,-305.5,210.5,-305.5,440.5,2,1,-305.5,79945.75,76246.5,210.5,-305.5,516.0,-47.5,1,0,0,1,1,440.5,-305.5,746.0,67.5,1,0,0,1,1,,,,,,,,
719,-305.5,-241.5,-407.0,-241.5,1,1,-305.5,79672.25,75941.0,-241.5,-305.5,64.0,-273.5,0,0,1,0,2,-241.5,-407.0,165.5,-324.25,0,0,1,0,2,,,,,,,,
720,108.5,0.0,-49.0,309.5,2,2,309.5,79802.5,76250.5,108.5,0.0,108.5,54.25,0,0,0,1,0,309.5,-49.0,358.5,130.25,1,0,0,1,1,,,,,,,,
721,108.5,0.0,108.5,210.5,2,2,210.5,79962.0,76461.0,108.5,0.0,108.5,54.25,0,0,0,1,0,210.5,108.5,102.0,159.5,0,1,0,2,0,1.0,0.0,2.0,0.0,,,,
722,-49.0,108.5,108.5,210.5,2,1,108.5,80121.5,76569.5,108.5,-49.0,157.5,29.75,1,0,0,1,1,210.5,108.5,102.0,159.5,0,1,0,2,0,1.0,0.0,2.0,0.0,,,,
723,108.5,0.0,-407.0,210.5,1,1,108.5,80175.75,76678.0,108.5,0.0,108.5,54.25,0,0,0,1,0,210.5,-407.0,617.5,-98.25,1,0,0,1,1,,,,,,,,
724,-49.0,0.0,-241.5,-49.0,1,1,-49.0,80151.25,76629.0,0.0,-49.0,49.0,-24.5,0,0,0,0,1,-49.0,-241.5,192.5,-145.25,0,0,1,0,2,,,,,,,,
725,-407.0,309.5,108.5,440.5,2,2,440.5,80425.75,77069.5,309.5,-407.0,716.5,-48.75,1,0,0,1,1,440.5,108.5,332.0,274.5,0,1,0,2,0,1.0,0.0,2.0,0.0,,,,
726,-49.0,108.5,-407.0,108.5,1,1,-49.0,80455.5,77020.5,108.5,-49.0,157.5,29.75,1,0,0,1,1,108.5,-407.0,515.5,-149.25,1,0,0,1,1,,,,,,,,
727,-407.0,210.5,-305.5,-241.5,1,1,-407.0,80357.25,76613.5,210.5,-407.0,617.5,-98.25,1,0,0,1,1,-241.5,-305.5,64.0,-273.5,0,0,1,0,2,,,,,,,,
