round,g1_a,g1_b,g2_a,g2_b,ee_choice,coin_flip,realized,wealth_expected,wealth_actual,g1_max,g1_min,g1_range,g1_mean,g1_signs_diff,g1_both_positive,g1_both_negative,g1_count_positive,g1_count_negative,g1_both_gainers,g1_both_shrinkers,g1_count_gainers,g1_count_shrinkers,g2_max,g2_min,g2_range,g2_mean,g2_signs_diff,g2_both_positive,g2_both_negative,g2_count_positive,g2_count_negative,g2_both_gainers,g2_both_shrinkers,g2_count_gainers,g2_count_shrinkers
189,0.583,1.006,0.841,1.006,2,2,1.006,7.130161011944139e+22,1.3492074126179166e+19,1.006,0.583,0.42300000000000004,0.7945,0,1,0,2,0,0,0,1,1,1.006,0.841,0.16500000000000004,0.9235,0,1,0,2,0,0,0,1,1
190,0.841,1.446,0.649,2.164,2,2,2.164,1.0028571463299432e+23,2.9196848409051718e+19,1.446,0.841,0.605,1.1435,0,1,0,2,0,0,0,1,1,2.164,0.649,1.5150000000000001,1.4065,0,1,0,2,0,0,0,1,1
191,0.649,1.184,0.841,2.164,2,2,2.164,1.5067928623607396e+23,6.318197995718792e+19,1.184,0.649,0.5349999999999999,0.9165,0,1,0,2,0,0,0,1,1,2.164,0.841,1.3230000000000002,1.5025,0,1,0,2,0,0,0,1,1
192,1.006,1.446,0.427,1.184,1,1,1.006,1.8473280492542667e+23,6.356107183693105e+19,1.446,1.006,0.43999999999999995,1.226,0,1,0,2,0,1,0,2,0,1.184,0.427,0.7569999999999999,0.8055,0,1,0,2,0,0,0,1,1
193,0.427,1.446,1.006,2.164,2,1,1.006,2.9280149580680125e+23,6.3942438267952636e+19,1.446,0.427,1.019,0.9365,0,1,0,2,0,0,0,1,1,2.164,1.006,1.1580000000000001,1.585,0,1,0,2,0,1,0,2,0
194,0.583,0.649,0.427,0.841,1,1,0.583,1.8036572141698956e+23,3.7278441510216385e+19,0.649,0.583,0.06600000000000006,0.616,0,1,0,2,0,0,1,0,2,0.841,0.427,0.414,0.634,0,1,0,2,0,0,1,0,2
195,1.739,2.164,0.583,1.184,1,2,2.164,3.5198370534525516e+23,8.067054742810826e+19,2.164,1.739,0.42500000000000004,1.9515000000000002,0,1,0,2,0,1,0,2,0,1.184,0.583,0.601,0.8835,0,1,0,2,0,0,0,1,1
196,1.184,1.739,0.583,1.739,1,2,1.739,5.144241853620904e+23,1.4028608197748027e+20,1.739,1.184,0.5550000000000002,1.4615,0,1,0,2,0,1,0,2,0,1.739,0.583,1.1560000000000001,1.161,0,1,0,2,0,0,0,1,1
197,0.649,1.739,1.184,2.164,2,1,1.184,8.611460862961393e+23,1.660987210613366e+20,1.739,0.649,1.09,1.194,0,1,0,2,0,0,0,1,1,2.164,1.184,0.9800000000000002,1.674,0,1,0,2,0,1,0,2,0
198,0.841,1.739,1.006,2.164,2,1,1.006,1.3649165467793806e+24,1.6709531338770465e+20,1.739,0.841,0.8980000000000001,1.29,0,1,0,2,0,0,0,1,1,2.164,1.006,1.1580000000000001,1.585,0,1,0,2,0,1,0,2,0
199,1.184,2.164,0.427,2.164,1,1,1.184,2.284870299308683e+24,1.978408510510423e+20,2.164,1.184,0.9800000000000002,1.674,0,1,0,2,0,1,0,2,0,2.164,0.427,1.737,1.2955,0,1,0,2,0,0,0,1,1
200,0.583,2.164,1.184,1.446,2,1,1.184,3.004604443590918e+24,2.3424356764443407e+20,2.164,0.583,1.5810000000000002,1.3735,0,1,0,2,0,0,0,1,1,1.446,1.184,0.262,1.315,0,1,0,2,0,1,0,2,0
201,1.006,2.164,1.739,2.164,2,1,1.739,5.863485571667677e+24,4.0734956413367085e+20,2.164,1.006,1.1580000000000001,1.585,0,1,0,2,0,1,0,2,0,2.164,1.739,0.42500000000000004,1.9515000000000002,0,1,0,2,0,1,0,2,0
202,0.427,2.164,0.841,1.446,2,1,0.841,6.704895751201989e+24,3.425809834364172e+20,2.164,0.427,1.737,1.2955,0,1,0,2,0,0,0,1,1,1.446,0.841,0.605,1.1435,0,1,0,2,0,0,0,1,1
203,1.006,1.446,1.006,1.739,2,1,1.006,9.20246941852473e+24,3.446364693370357e+20,1.446,1.006,0.43999999999999995,1.226,0,1,0,2,0,1,0,2,0,1.739,1.006,0.7330000000000001,1.3725,0,1,0,2,0,1,0,2,0
204,0.841,1.446,1.006,2.164,2,2,2.164,1.4585914028361698e+25,7.457933196453453e+20,1.446,0.841,0.605,1.1435,0,1,0,2,0,0,0,1,1,2.164,1.006,1.1580000000000001,1.585,0,1,0,2,0,1,0,2,0
