round,g1,g2,choice,coin_flip,wealth_expected,wealth_actual,realized,g1_max,g1_min,g1_range,g1_mean,g1_signs_diff,g1_both_positive,g1_both_negative,g1_count_positive,g1_count_negative,g2_max,g2_min,g2_range,g2_mean,g2_signs_diff,g2_both_positive,g2_both_negative,g2_count_positive,g2_count_negative,g2_both_gainers,g2_both_shrinkers,g2_count_gainers,g2_count_shrinkers,g1_both_gainers,g1_both_shrinkers,g1_count_gainers,g1_count_shrinkers,eta
57,"(-49.0, 108.5)","(-305.5, 108.5)",1,1,7665.0,5755.0,-49.0,108.5,-49.0,157.5,29.75,1,0,0,1,1,108.5,-305.5,414.0,-98.5,1,0,0,1,1,,,,,,,,,0.75
58,"(-241.5, -49.0)","(309.5, 0.0)",2,2,7819.75,5755.0,0.0,-49.0,-241.5,192.5,-145.25,0,0,1,0,2,309.5,0.0,309.5,154.75,0,0,0,1,0,,,,,,,,,0.75
59,"(-49.0, 0.0)","(108.5, 0.0)",2,2,7874.0,5755.0,0.0,0.0,-49.0,49.0,-24.5,0,0,0,0,1,108.5,0.0,108.5,54.25,0,0,0,1,0,,,,,,,,,0.75
60,"(-49.0, 440.5)","(440.5, 0.0)",2,1,8094.25,6195.5,440.5,440.5,-49.0,489.5,195.75,1,0,0,1,1,440.5,0.0,440.5,220.25,0,0,0,1,0,,,,,,,,,0.75
61,"(-49.0, 0.0)","(-407.0, -241.5)",1,2,8069.75,6195.5,0.0,0.0,-49.0,49.0,-24.5,0,0,0,0,1,-241.5,-407.0,165.5,-324.25,0,0,1,0,2,,,,,,,,,0.75
62,"(-305.5, -241.5)","(-49.0, 309.5)",2,2,8200.0,6505.0,309.5,-241.5,-305.5,64.0,-273.5,0,0,1,0,2,309.5,-49.0,358.5,130.25,1,0,0,1,1,,,,,,,,,0.75
63,"(-305.5, -49.0)","(210.5, 0.0)",2,2,8305.25,6505.0,0.0,-49.0,-305.5,256.5,-177.25,0,0,1,0,2,210.5,0.0,210.5,105.25,0,0,0,1,0,,,,,,,,,0.75
64,"(440.5, 0.0)","(-241.5, 440.5)",1,2,8525.5,6505.0,0.0,440.5,0.0,440.5,220.25,0,0,0,1,0,440.5,-241.5,682.0,99.5,1,0,0,1,1,,,,,,,,,0.75
65,"(-305.5, -241.5)","(210.5, 309.5)",2,1,8785.5,6715.5,210.5,-241.5,-305.5,64.0,-273.5,0,0,1,0,2,309.5,210.5,99.0,260.0,0,1,0,2,0,1.0,0.0,2.0,0.0,,,,,0.75
66,"(-49.0, 309.5)","(-407.0, 108.5)",1,1,8915.75,6666.5,-49.0,309.5,-49.0,358.5,130.25,1,0,0,1,1,108.5,-407.0,515.5,-149.25,1,0,0,1,1,,,,,,,,,0.75
67,"(-305.5, 210.5)","(-241.5, 309.5)",2,1,8949.75,6425.0,-241.5,210.5,-305.5,516.0,-47.5,1,0,0,1,1,309.5,-241.5,551.0,34.0,1,0,0,1,1,,,,,,,,,0.75
68,"(-241.5, 309.5)","(-407.0, 440.5)",1,2,8983.75,6734.5,309.5,309.5,-241.5,551.0,34.0,1,0,0,1,1,440.5,-407.0,847.5,16.75,1,0,0,1,1,,,,,,,,,0.75
69,"(-241.5, 210.5)","(210.5, 309.5)",2,2,9243.75,7044.0,309.5,210.5,-241.5,452.0,-15.5,1,0,0,1,1,309.5,210.5,99.0,260.0,0,1,0,2,0,1.0,0.0,2.0,0.0,,,,,0.75
70,"(440.5, 0.0)","(-407.0, 0.0)",1,2,9464.0,7044.0,0.0,440.5,0.0,440.5,220.25,0,0,0,1,0,0.0,-407.0,407.0,-203.5,0,0,0,0,1,,,,,,,,,0.75
71,"(210.5, 309.5)","(-305.5, 108.5)",1,2,9724.0,7353.5,309.5,309.5,210.5,99.0,260.0,0,1,0,2,0,108.5,-305.5,414.0,-98.5,1,0,0,1,1,,,,,1.0,0.0,2.0,0.0,0.75
72,"(-407.0, -49.0)","(108.5, 440.5)",2,2,9998.5,7794.0,440.5,-49.0,-407.0,358.0,-228.0,0,0,1,0,2,440.5,108.5,332.0,274.5,0,1,0,2,0,1.0,0.0,2.0,0.0,,,,,0.75
73,"(210.5, 440.5)","(-407.0, 210.5)",1,1,10324.0,8004.5,210.5,440.5,210.5,230.0,325.5,0,1,0,2,0,210.5,-407.0,617.5,-98.25,1,0,0,1,1,,,,,1.0,0.0,2.0,0.0,0.75
74,"(-407.0, 440.5)","(309.5, 0.0)",2,1,10478.75,8314.0,309.5,440.5,-407.0,847.5,16.75,1,0,0,1,1,309.5,0.0,309.5,154.75,0,0,0,1,0,,,,,,,,,0.75
75,"(-305.5, 108.5)","(-305.5, -241.5)",1,1,10380.25,8008.5,-305.5,108.5,-305.5,414.0,-98.5,1,0,0,1,1,-241.5,-305.5,64.0,-273.5,0,0,1,0,2,,,,,,,,,0.75
76,"(-49.0, 0.0)","(-241.5, -49.0)",1,1,10355.75,7959.5,-49.0,0.0,-49.0,49.0,-24.5,0,0,0,0,1,-49.0,-241.5,192.5,-145.25,0,0,1,0,2,,,,,,,,,0.75
77,"(-305.5, 0.0)","(-305.5, 309.5)",2,2,10357.75,8269.0,309.5,0.0,-305.5,305.5,-152.75,0,0,0,0,1,309.5,-305.5,615.0,2.0,1,0,0,1,1,,,,,,,,,0.75
78,"(-49.0, 0.0)","(-407.0, -49.0)",1,1,10333.25,8220.0,-49.0,0.0,-49.0,49.0,-24.5,0,0,0,0,1,-49.0,-407.0,358.0,-228.0,0,0,1,0,2,,,,,,,,,0.75
79,"(-49.0, 440.5)","(-241.5, 0.0)",1,2,10529.0,8660.5,440.5,440.5,-49.0,489.5,195.75,1,0,0,1,1,0.0,-241.5,241.5,-120.75,0,0,0,0,1,,,,,,,,,0.75
80,"(-241.5, 0.0)","(-305.5, 0.0)",1,1,10408.25,8419.0,-241.5,0.0,-241.5,241.5,-120.75,0,0,0,0,1,0.0,-305.5,305.5,-152.75,0,0,0,0,1,,,,,,,,,0.75
81,"(108.5, 0.0)","(309.5, 440.5)",2,1,10783.25,8728.5,309.5,108.5,0.0,108.5,54.25,0,0,0,1,0,440.5,309.5,131.0,375.0,0,1,0,2,0,1.0,0.0,2.0,0.0,,,,,0.75
82,"(-305.5, -241.5)","(-305.5, -49.0)",2,2,10606.0,8679.5,-49.0,-241.5,-305.5,64.0,-273.5,0,0,1,0,2,-49.0,-305.5,256.5,-177.25,0,0,1,0,2,,,,,,,,,0.75
83,"(440.5, 0.0)","(210.5, 309.5)",2,2,10866.0,8989.0,309.5,440.5,0.0,440.5,220.25,0,0,0,1,0,309.5,210.5,99.0,260.0,0,1,0,2,0,1.0,0.0,2.0,0.0,,,,,0.75
